9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
																								1	0							1							1	0																		11	10											11	1	0
																							6	1	0							1					11	10	1	0																	12	11	10												1	0
																							11	1	0						11	10				11	10	1	0	0														11	10				11										11		1	0
																						11	10	1	0					11	10		11						1	0														11	10	10															1	0
																					11	10	10	1	0								201			11			1	0														1	0	0				11								11			1	0
																				11	10	10	10	1	0					11			11			201			1	0															1	0															1	0
																		6	1	0				1	0					201						11			1	0													11		1	0					11						11				1	0
																		1	0				6	1	0					11									1	0	19														1	0															1	0
																	1	0	0					1	0								11						1	0												11			1	0						11				11				6	1	0
																1	0							1	0								201			11			1	0															1	0															1	0
															1	0	0							1	0					11			11			201			1	0	19										11				1	0							11		11						1	0
														1	0	0	0							1	0					201						11			1	0															1	0															1	0
													1	0	0									1	0					11									1	0										11					1									11						7	1	0
												1	0	0										1	0								11						1	0	19																														1	0
											1	0	0											1	0								201			11			1	0									11						1								11		11						1	0
									6	1	0	0												1	0					11			11			201			1	0															1																1	0
									1	0	0													1	0					201						11			1	0	19							11														11				11					1	0
								1	0	0	0													1	0					11									1	0														6	1																1	0
							1	0	0															1	0								11						1	0							11														11						11				1	0
					6	1	0	0																1	0								201			11			1	0	19																														1	0
					1	0	0																		1					11			11			201			1	0	0					11														11								11			1	0
				1	0	0																			1				6	11						11				1	0	0																													1	0
			1	0	0																									11				11	10						11	10			1	0													11	10									11		1	0
		1	0																										11						1							11		1	0	0													11	10											1	0
	1	0																										12	11						1								1	0	0	0												6	11	10										11	1	0
	1	0											9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
77	0	0																																																																						
	0	0																																																																						
	0	0																																																																						
	0	0																																																																						
	1	0																																																																						
